,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
534,stn19-dB-LV-A3-pul-t5,0.323836864,0.319278946,0.568238945,0.59609349,0.494537127,0.152415687,0,0,0.244402081,0.272256626,0.172219569,0.149795373
535,stn19-dB-LV-A3-xyl-t0,0,0,0,0,0,0,0,0,0,0,0,0
536,stn19-dB-LV-A3-xyl-t1,0.010616445,0.069474364,0.361082143,0.003754601,0.14477037,0.190191638,0,0,0,0,0,0
537,stn19-dB-LV-A3-xyl-t2,0.013060065,0.134771194,0.120231844,0.009266973,0.088090004,0.06864875,0,0,0,0,0,0
538,stn19-dB-LV-A3-xyl-t3,0.003118446,0.058214742,0.05410192,0.072586822,0.061634495,0.009705356,0,0,0,0,0,0
539,stn19-dB-LV-A3-xyl-t4,0.001298204,1.407878868,0.482221123,0.130520543,0.673540178,0.659820664,0,1.406580664,0.480922918,0.129222338,0.672241973,0.659820664
540,stn19-dB-LV-A3-xyl-t5,0.030354637,2.754183761,2.029043236,1.768651476,2.183959491,0.510703198,0,2.723829125,1.998688599,1.738296839,2.153604854,0.510703198
541,stn19-dC-LV-A1-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
542,stn19-dC-LV-A1-ara-t1,0.23795376,1.95517367,0.004109903,0.14580943,0.701697668,1.08785167,0,0,0,0,0,0
543,stn19-dC-LV-A1-ara-t2,0.038753781,0.09085602,0.042158985,0.606454383,0.246489796,0.312687909,0,0,0,0,0,0
544,stn19-dC-LV-A1-ara-t3,0.11479388,0.0009794,0.272137857,0.504914225,0.259343827,0.252210908,0,0,0,0,0,0
545,stn19-dC-LV-A1-ara-t4,0.366899941,0.13667101,0.225871502,0.125641824,0.162728112,0.054961136,0,0,0,0,0,0
